Food Name,Category,Calories (per 100g),Carbs (g),Protein (g),Fat (g),Serving Size (g),Meal Time,Dietary Suitability,Ingredients,Description
Vegetable Pulao,Lunch,216,64.1,5.4,11.2,250,Evening,Weight Loss,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Keerai Poriyal,Side Dish,171,60.3,17.9,21.8,100,Afternoon,Weight Loss,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Ragi Mudde,Lunch,91,18.1,6.4,26.7,150,Anytime,Weight Gain,Ingredients Not Available,Ragi Mudde is a popular dish served as lunch.
Parotta,Dinner,71,16.0,13.2,8.1,150,Afternoon,Weight Gain,Ingredients Not Available,Parotta is a popular dish served as dinner.
Mint Chutney,Side Dish,309,44.2,4.1,13.1,250,Anytime,Diabetic Friendly,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Carrot Halwa,Dessert,313,38.4,3.0,22.3,300,Evening,Diabetic Friendly,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Vegetable Pulao,Lunch,272,13.5,2.4,28.3,150,Morning,Weight Gain,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Banana Chips,Snack,245,66.6,5.3,0.9,150,Morning,Weight Gain,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Rasam,Soup,328,48.7,15.4,6.4,100,Evening,Diabetic Friendly,"Tamarind, Tomatoes, Spices, Coriander",Rasam is a popular dish served as soup.
Pesarattu,Breakfast,244,38.2,7.5,27.2,100,Morning,Weight Gain,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Lemon Rice,Lunch,112,57.2,7.4,17.9,200,Afternoon,Weight Loss,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Rasam,Soup,152,18.7,13.1,25.1,250,Anytime,Weight Loss,"Tamarind, Tomatoes, Spices, Coriander",Rasam is a popular dish served as soup.
Pumpkin Sambar,Side Dish,380,48.1,13.1,27.2,200,Anytime,Balanced Diet,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Beans Stir Fry,Side Dish,319,37.2,9.1,16.2,150,Evening,Balanced Diet,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Ghee Rice,Lunch,125,36.4,6.0,3.2,100,Anytime,Immunity Boost,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Kootu,Side Dish,158,52.7,17.2,25.1,300,Morning,Immunity Boost,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Ghee Rice,Lunch,104,59.9,6.8,25.2,150,Anytime,Weight Gain,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Pumpkin Sambar,Side Dish,181,10.6,8.2,5.4,300,Evening,Weight Loss,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Carrot Halwa,Dessert,358,40.8,9.0,16.0,300,Evening,Weight Gain,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Tamarind Rice,Lunch,61,55.4,4.7,8.8,300,Anytime,Balanced Diet,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Tamarind Rice,Lunch,164,15.5,3.7,21.4,100,Afternoon,Weight Loss,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Pesarattu,Breakfast,214,27.0,19.5,1.7,300,Afternoon,Balanced Diet,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Tamarind Rice,Lunch,314,26.3,2.1,6.8,100,Afternoon,Balanced Diet,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Kuzhambu,Side Dish,176,25.7,4.2,3.6,300,Evening,Weight Gain,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Pongal,Breakfast,395,11.1,6.3,0.7,200,Afternoon,Weight Gain,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Upma,Breakfast,64,38.3,14.9,27.5,200,Anytime,Diabetic Friendly,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Banana Chips,Snack,82,48.1,10.5,18.2,250,Afternoon,Weight Gain,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Aloo Paratha,Breakfast,42,68.6,17.6,22.7,100,Evening,Weight Gain,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Peanut Ladoo,Snack,348,65.3,12.5,6.7,250,Morning,Immunity Boost,Ingredients Not Available,Peanut Ladoo is a popular dish served as snack.
Parotta,Dinner,241,67.2,16.4,16.0,200,Afternoon,Diabetic Friendly,Ingredients Not Available,Parotta is a popular dish served as dinner.
Chicken 65,Snack,282,43.9,6.4,16.8,100,Evening,Immunity Boost,Ingredients Not Available,Chicken 65 is a popular dish served as snack.
Vegetable Pulao,Lunch,396,33.7,8.6,8.6,250,Afternoon,Weight Gain,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Mint Chutney,Side Dish,227,52.2,13.8,23.7,300,Anytime,Balanced Diet,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Chicken Curry,Side Dish,239,40.6,8.5,26.6,300,Anytime,Weight Gain,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Mint Chutney,Side Dish,118,45.9,10.7,10.2,300,Morning,Weight Gain,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Bhindi Fry,Side Dish,142,38.1,12.7,28.9,200,Evening,Balanced Diet,Ingredients Not Available,Bhindi Fry is a popular dish served as side dish.
Idiyappam,Breakfast,42,23.1,3.1,4.2,150,Evening,Weight Gain,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Filter Coffee,Beverage,282,49.1,10.0,16.5,200,Anytime,Balanced Diet,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Sambar,Side Dish,361,32.9,16.4,17.6,200,Afternoon,Weight Gain,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Lemon Rice,Lunch,340,23.1,4.8,17.4,150,Evening,Immunity Boost,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Idiyappam,Breakfast,224,34.0,8.5,4.4,200,Anytime,Immunity Boost,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Fruits Bowl,Snack,115,49.2,7.3,10.2,200,Morning,Balanced Diet,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Milkshake,Beverage,152,36.3,13.8,27.9,100,Evening,Balanced Diet,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Beans Stir Fry,Side Dish,243,11.1,3.4,11.4,250,Anytime,Weight Gain,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Fruits Bowl,Snack,379,31.5,17.4,25.9,200,Evening,Balanced Diet,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Fruits Bowl,Snack,333,39.8,18.0,12.1,300,Morning,Weight Loss,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Ghee Rice,Lunch,369,55.1,6.7,4.3,200,Morning,Diabetic Friendly,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Mint Chutney,Side Dish,300,67.7,4.4,26.4,250,Afternoon,Diabetic Friendly,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Mint Chutney,Side Dish,390,58.6,6.2,16.7,300,Anytime,Diabetic Friendly,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Idli,Breakfast,170,41.1,5.0,14.5,150,Afternoon,Weight Loss,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Pav Bhaji,Snack,225,30.5,5.0,3.3,100,Anytime,Balanced Diet,Ingredients Not Available,Pav Bhaji is a popular dish served as snack.
Lemon Rice,Lunch,250,52.5,16.2,21.1,100,Anytime,Diabetic Friendly,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Coconut Chutney,Side Dish,88,11.6,6.9,14.3,250,Afternoon,Balanced Diet,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Pesarattu,Breakfast,213,53.6,12.9,26.0,250,Anytime,Immunity Boost,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Kuzhambu,Side Dish,342,10.3,19.1,28.4,250,Evening,Balanced Diet,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Beans Stir Fry,Side Dish,105,57.2,13.6,9.6,200,Afternoon,Balanced Diet,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Mint Chutney,Side Dish,80,62.1,16.9,3.5,150,Morning,Balanced Diet,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Pongal,Breakfast,374,30.1,2.5,10.6,100,Evening,Weight Loss,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Aloo Paratha,Breakfast,212,17.7,3.1,8.6,250,Afternoon,Weight Loss,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Chapati,Lunch,341,22.7,6.6,21.9,300,Morning,Immunity Boost,Ingredients Not Available,Chapati is a popular dish served as lunch.
Idiyappam,Breakfast,366,19.5,18.2,17.5,300,Morning,Weight Loss,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Peanut Ladoo,Snack,259,17.4,8.1,24.8,200,Afternoon,Weight Gain,Ingredients Not Available,Peanut Ladoo is a popular dish served as snack.
Egg Dosa,Breakfast,347,59.3,17.6,2.9,200,Morning,Immunity Boost,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Masala Tea,Beverage,205,53.3,4.6,9.3,150,Afternoon,Immunity Boost,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Idiyappam,Breakfast,72,19.5,14.8,15.9,150,Afternoon,Immunity Boost,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Ghee Rice,Lunch,216,68.3,8.1,2.3,100,Afternoon,Diabetic Friendly,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Kootu,Side Dish,289,47.0,18.1,17.1,150,Morning,Diabetic Friendly,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Sambar,Side Dish,251,35.1,14.9,19.5,100,Anytime,Immunity Boost,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Pesarattu,Breakfast,119,12.0,15.8,8.1,300,Morning,Balanced Diet,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Egg Curry,Side Dish,283,22.2,7.5,1.5,150,Evening,Diabetic Friendly,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Vegetable Sandwich,Snack,183,15.2,6.3,15.1,150,Morning,Immunity Boost,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Fish Fry,Side Dish,255,44.5,11.3,19.4,250,Morning,Weight Gain,Ingredients Not Available,Fish Fry is a popular dish served as side dish.
Chapati,Lunch,354,50.5,2.2,26.8,150,Anytime,Balanced Diet,Ingredients Not Available,Chapati is a popular dish served as lunch.
Idiyappam,Breakfast,160,56.6,14.3,5.3,100,Afternoon,Weight Gain,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Chicken Curry,Side Dish,239,40.1,2.9,2.7,300,Afternoon,Weight Loss,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Vegetable Salad,Snack,144,11.2,11.4,5.2,100,Morning,Weight Loss,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Sambar,Side Dish,50,32.1,13.4,2.7,100,Anytime,Weight Loss,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Parotta,Dinner,373,31.5,13.9,15.7,100,Afternoon,Weight Loss,Ingredients Not Available,Parotta is a popular dish served as dinner.
Mutton Curry,Side Dish,215,51.4,9.3,7.7,100,Afternoon,Weight Gain,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Pongal,Breakfast,117,15.5,6.7,3.0,300,Anytime,Immunity Boost,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Paneer Butter Masala,Side Dish,152,42.6,8.0,3.1,250,Morning,Weight Loss,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Idli,Breakfast,357,51.6,9.5,7.7,250,Evening,Weight Loss,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Ghee Rice,Lunch,310,36.2,12.5,24.1,300,Evening,Diabetic Friendly,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Tamarind Rice,Lunch,92,66.8,12.2,26.8,200,Afternoon,Immunity Boost,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Mint Chutney,Side Dish,365,55.2,6.4,11.1,100,Anytime,Weight Loss,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Dosa,Breakfast,272,33.8,13.6,4.3,100,Morning,Diabetic Friendly,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Pesarattu,Breakfast,321,63.2,14.5,4.2,150,Anytime,Immunity Boost,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Mutton Curry,Side Dish,112,27.8,16.6,14.1,200,Afternoon,Weight Gain,Ingredients Not Available,Mutton Curry is a popular dish served as side dish.
Vegetable Pulao,Lunch,104,57.6,4.3,7.9,100,Afternoon,Weight Gain,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Beans Stir Fry,Side Dish,229,31.6,4.9,12.9,150,Afternoon,Immunity Boost,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Coconut Chutney,Side Dish,128,41.2,8.0,6.8,150,Evening,Weight Loss,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Pongal,Breakfast,326,37.1,15.4,19.2,200,Anytime,Diabetic Friendly,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Idiyappam,Breakfast,114,19.2,9.8,2.1,150,Anytime,Weight Gain,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Chapati,Lunch,171,26.7,8.3,22.2,200,Evening,Balanced Diet,Ingredients Not Available,Chapati is a popular dish served as lunch.
Upma,Breakfast,378,12.1,7.7,6.7,150,Morning,Balanced Diet,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Keerai Poriyal,Side Dish,130,16.9,10.7,14.5,250,Morning,Diabetic Friendly,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Dosa,Breakfast,377,24.9,11.1,16.9,300,Afternoon,Weight Loss,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Lemon Rice,Lunch,113,17.6,18.9,19.8,150,Morning,Balanced Diet,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Carrot Halwa,Dessert,224,30.9,18.9,14.8,150,Anytime,Balanced Diet,Ingredients Not Available,Carrot Halwa is a popular dish served as dessert.
Dosa,Breakfast,135,33.9,7.3,20.2,300,Morning,Immunity Boost,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Vegetable Sandwich,Snack,292,29.8,7.5,9.8,300,Morning,Balanced Diet,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Dosa,Breakfast,222,35.0,17.6,13.7,100,Afternoon,Weight Loss,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Idiyappam,Breakfast,351,26.1,12.7,23.6,250,Morning,Weight Loss,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Tamarind Rice,Lunch,371,54.0,18.1,8.2,300,Anytime,Balanced Diet,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Lemon Rice,Lunch,317,17.7,12.7,15.2,100,Afternoon,Diabetic Friendly,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Pumpkin Sambar,Side Dish,220,44.2,4.5,25.7,300,Evening,Weight Gain,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Upma,Breakfast,177,21.4,5.5,1.0,200,Morning,Balanced Diet,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Masala Tea,Beverage,137,61.0,7.5,10.1,250,Afternoon,Immunity Boost,Ingredients Not Available,Masala Tea is a popular dish served as beverage.
Dal Tadka,Side Dish,369,61.8,12.3,20.9,150,Morning,Immunity Boost,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Mint Chutney,Side Dish,295,19.2,7.6,29.0,250,Evening,Immunity Boost,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Lemon Rice,Lunch,204,51.1,5.7,18.3,250,Morning,Balanced Diet,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Paneer Butter Masala,Side Dish,240,59.6,17.3,13.0,300,Anytime,Balanced Diet,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Ragi Mudde,Lunch,197,28.1,7.6,3.0,150,Morning,Diabetic Friendly,Ingredients Not Available,Ragi Mudde is a popular dish served as lunch.
Milkshake,Beverage,380,44.9,4.1,13.7,100,Afternoon,Immunity Boost,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Paneer Butter Masala,Side Dish,112,32.1,19.4,29.3,250,Evening,Balanced Diet,Ingredients Not Available,Paneer Butter Masala is a popular dish served as side dish.
Pesarattu,Breakfast,129,58.6,5.3,14.8,150,Evening,Immunity Boost,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Milkshake,Beverage,232,62.2,3.6,27.2,300,Anytime,Diabetic Friendly,Ingredients Not Available,Milkshake is a popular dish served as beverage.
Rasam,Soup,241,48.6,7.0,15.4,300,Evening,Weight Loss,"Tamarind, Tomatoes, Spices, Coriander",Rasam is a popular dish served as soup.
Aloo Paratha,Breakfast,326,36.3,17.3,4.6,150,Morning,Diabetic Friendly,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Pumpkin Sambar,Side Dish,192,16.2,15.2,27.6,100,Anytime,Weight Loss,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Pumpkin Sambar,Side Dish,312,57.5,19.1,20.5,200,Anytime,Balanced Diet,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Filter Coffee,Beverage,302,57.7,7.1,0.9,250,Evening,Weight Loss,Ingredients Not Available,Filter Coffee is a popular dish served as beverage.
Upma,Breakfast,329,52.7,6.6,26.6,100,Anytime,Diabetic Friendly,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Upma,Breakfast,185,31.1,16.7,19.7,250,Evening,Weight Gain,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Chicken 65,Snack,73,28.1,12.4,29.1,200,Evening,Immunity Boost,Ingredients Not Available,Chicken 65 is a popular dish served as snack.
Peanut Ladoo,Snack,272,62.3,4.8,17.6,250,Morning,Balanced Diet,Ingredients Not Available,Peanut Ladoo is a popular dish served as snack.
Pumpkin Sambar,Side Dish,169,22.6,6.9,27.9,100,Afternoon,Immunity Boost,Ingredients Not Available,Pumpkin Sambar is a popular dish served as side dish.
Vegetable Salad,Snack,256,68.4,6.9,6.3,150,Evening,Diabetic Friendly,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Ghee Rice,Lunch,118,56.0,2.8,16.1,100,Evening,Weight Gain,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Biryani,Lunch,300,17.4,10.7,15.2,300,Anytime,Immunity Boost,Ingredients Not Available,Biryani is a popular dish served as lunch.
Kuzhambu,Side Dish,109,36.8,12.7,11.7,200,Morning,Weight Loss,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Peanut Ladoo,Snack,112,47.8,19.5,29.9,200,Evening,Immunity Boost,Ingredients Not Available,Peanut Ladoo is a popular dish served as snack.
Vegetable Salad,Snack,312,66.3,4.3,10.6,200,Anytime,Balanced Diet,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Curd Rice,Lunch,353,42.4,7.8,4.4,300,Morning,Immunity Boost,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Vegetable Pulao,Lunch,352,34.6,15.2,4.9,250,Morning,Weight Loss,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Vegetable Salad,Snack,100,23.2,6.5,23.7,300,Evening,Immunity Boost,Ingredients Not Available,Vegetable Salad is a popular dish served as snack.
Payasam,Dessert,118,20.2,4.0,13.2,300,Afternoon,Immunity Boost,"Rice, Milk, Jaggery, Cardamom, Cashews",Payasam is a popular dish served as dessert.
Pesarattu,Breakfast,367,18.3,7.3,4.2,150,Evening,Balanced Diet,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Aloo Paratha,Breakfast,151,57.0,19.9,2.0,150,Anytime,Weight Gain,Ingredients Not Available,Aloo Paratha is a popular dish served as breakfast.
Dosa,Breakfast,53,11.0,16.0,25.7,100,Anytime,Immunity Boost,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Beans Stir Fry,Side Dish,351,63.9,8.2,20.0,100,Afternoon,Weight Gain,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Egg Curry,Side Dish,146,55.5,8.5,26.0,300,Anytime,Weight Loss,Ingredients Not Available,Egg Curry is a popular dish served as side dish.
Idli,Breakfast,57,50.1,6.1,5.7,200,Afternoon,Weight Gain,"Rice, Urad Dal, Water, Salt",Idli is a popular dish served as breakfast.
Curd Rice,Lunch,121,35.8,12.1,25.0,150,Anytime,Immunity Boost,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Chicken Curry,Side Dish,92,15.7,2.7,1.3,150,Anytime,Immunity Boost,Ingredients Not Available,Chicken Curry is a popular dish served as side dish.
Egg Dosa,Breakfast,124,13.6,7.9,19.9,200,Afternoon,Balanced Diet,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Banana Chips,Snack,358,62.0,18.7,20.1,300,Morning,Balanced Diet,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Pongal,Breakfast,153,20.8,17.2,10.6,300,Anytime,Weight Loss,"Rice, Moong Dal, Ghee, Black Pepper, Cumin",Pongal is a popular dish served as breakfast.
Dosa,Breakfast,84,11.7,13.2,8.3,250,Anytime,Weight Loss,"Rice, Urad Dal, Water, Salt",Dosa is a popular dish served as breakfast.
Sambar,Side Dish,146,21.6,4.9,23.0,300,Afternoon,Weight Gain,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Curd Rice,Lunch,382,14.7,6.9,13.7,200,Evening,Weight Gain,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Beans Stir Fry,Side Dish,64,38.8,11.1,24.3,300,Afternoon,Weight Gain,Ingredients Not Available,Beans Stir Fry is a popular dish served as side dish.
Upma,Breakfast,398,15.9,4.6,19.4,150,Morning,Immunity Boost,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Lemon Rice,Lunch,183,51.4,2.5,29.1,100,Afternoon,Balanced Diet,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Kuzhambu,Side Dish,272,48.1,17.3,6.1,300,Evening,Weight Loss,"Tamarind, Vegetables, Spices",Kuzhambu is a popular dish served as side dish.
Sambar,Side Dish,139,65.9,14.7,28.0,100,Anytime,Diabetic Friendly,"Toor Dal, Tamarind, Vegetables, Spices",Sambar is a popular dish served as side dish.
Vadai,Snack,328,17.9,13.8,25.2,150,Anytime,Immunity Boost,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Banana Chips,Snack,213,46.7,13.3,10.7,150,Morning,Weight Loss,Ingredients Not Available,Banana Chips is a popular dish served as snack.
Upma,Breakfast,186,57.0,13.5,21.2,150,Evening,Immunity Boost,"Rava, Vegetables, Curry Leaves, Spices",Upma is a popular dish served as breakfast.
Egg Dosa,Breakfast,296,60.6,6.1,15.5,200,Anytime,Immunity Boost,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Coconut Chutney,Side Dish,48,63.2,7.9,18.1,250,Morning,Diabetic Friendly,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Vegetable Sandwich,Snack,129,64.4,19.2,5.4,300,Morning,Weight Gain,Ingredients Not Available,Vegetable Sandwich is a popular dish served as snack.
Curd Rice,Lunch,150,60.8,4.1,29.1,250,Afternoon,Diabetic Friendly,Ingredients Not Available,Curd Rice is a popular dish served as lunch.
Kootu,Side Dish,351,15.2,19.9,4.2,150,Anytime,Weight Gain,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Ghee Rice,Lunch,201,11.1,17.1,0.9,100,Afternoon,Diabetic Friendly,Ingredients Not Available,Ghee Rice is a popular dish served as lunch.
Fruits Bowl,Snack,302,41.8,9.2,25.7,150,Morning,Immunity Boost,Ingredients Not Available,Fruits Bowl is a popular dish served as snack.
Pesarattu,Breakfast,144,16.9,12.2,27.0,200,Morning,Weight Loss,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Chicken 65,Snack,333,61.5,16.1,19.1,200,Evening,Balanced Diet,Ingredients Not Available,Chicken 65 is a popular dish served as snack.
Egg Dosa,Breakfast,384,64.2,9.7,23.5,150,Anytime,Immunity Boost,Ingredients Not Available,Egg Dosa is a popular dish served as breakfast.
Keerai Poriyal,Side Dish,42,62.7,3.1,19.2,100,Anytime,Weight Loss,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Tamarind Rice,Lunch,389,32.3,3.2,18.3,200,Anytime,Diabetic Friendly,Ingredients Not Available,Tamarind Rice is a popular dish served as lunch.
Dal Tadka,Side Dish,68,48.6,19.2,7.9,300,Afternoon,Weight Gain,Ingredients Not Available,Dal Tadka is a popular dish served as side dish.
Mint Chutney,Side Dish,96,30.7,10.4,20.9,200,Evening,Weight Gain,Ingredients Not Available,Mint Chutney is a popular dish served as side dish.
Vadai,Snack,100,37.1,19.2,23.7,250,Anytime,Balanced Diet,"Urad Dal, Black Pepper, Curry Leaves, Salt",Vadai is a popular dish served as snack.
Pesarattu,Breakfast,134,16.8,5.4,8.3,250,Evening,Weight Gain,Ingredients Not Available,Pesarattu is a popular dish served as breakfast.
Keerai Poriyal,Side Dish,178,55.3,16.2,26.2,100,Afternoon,Diabetic Friendly,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Kootu,Side Dish,249,32.5,5.7,11.2,100,Morning,Balanced Diet,"Vegetables, Coconut, Spices, Lentils",Kootu is a popular dish served as side dish.
Idiyappam,Breakfast,142,47.2,14.6,6.9,250,Afternoon,Weight Loss,Ingredients Not Available,Idiyappam is a popular dish served as breakfast.
Vegetable Pulao,Lunch,206,11.0,16.7,4.7,300,Morning,Balanced Diet,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Coconut Chutney,Side Dish,305,27.5,8.0,28.8,100,Evening,Immunity Boost,Ingredients Not Available,Coconut Chutney is a popular dish served as side dish.
Vegetable Pulao,Lunch,99,67.1,4.4,19.9,250,Morning,Diabetic Friendly,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Vegetable Kurma,Side Dish,105,55.9,19.4,18.3,200,Morning,Weight Loss,Ingredients Not Available,Vegetable Kurma is a popular dish served as side dish.
Keerai Poriyal,Side Dish,312,16.6,12.3,21.2,250,Evening,Diabetic Friendly,Ingredients Not Available,Keerai Poriyal is a popular dish served as side dish.
Lemon Rice,Lunch,130,39.4,10.9,6.5,150,Anytime,Balanced Diet,Ingredients Not Available,Lemon Rice is a popular dish served as lunch.
Vegetable Pulao,Lunch,351,65.6,2.7,16.6,200,Morning,Immunity Boost,Ingredients Not Available,Vegetable Pulao is a popular dish served as lunch.
Tomato Soup,Soup,249,40.6,2.8,13.4,200,Morning,Balanced Diet,Ingredients Not Available,Tomato Soup is a popular dish served as soup.
Tomato Soup,Soup,80,53.3,8.9,1.3,200,Afternoon,Balanced Diet,Ingredients Not Available,Tomato Soup is a popular dish served as soup.
